source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,solver_success,solver_max_abs_residual
Matin,20.0,0.3,0.31,MEAH+,0.0327,0.035524921954111,0.0359853798241997,True,7.105427357601002e-15
Matin,20.0,0.3,0.334,MEAH+,0.0349,0.038218476171824,0.0394479401302669,True,3.552713678800501e-15
Matin,20.0,0.3,0.358,MEAH+,0.0372,0.0409113079644702,0.0413004245510031,True,7.105427357601002e-15
Matin,20.0,0.3,0.382,MEAH+,0.0394,0.0436031747366192,0.0440218894705353,True,5.841747097464352e-16
Jakobsen,20.0,0.3,0.4,MEAH+,0.0447,0.0456211747495937,0.0088589410769407,True,2.664535259100376e-15
Matin,20.0,0.3,0.406,MEAH+,0.0415,0.0462936104671286,0.0474729562851182,True,4.263256414560601e-14
Matin,20.0,0.3,0.431,MEAH+,0.0436,0.0490936294458105,0.0515386510003842,True,3.552713678800501e-15
Matin,20.0,0.3,0.455,MEAH+,0.0457,0.0517772634299486,0.0542228929838267,True,7.105427357601002e-15
Matin,20.0,0.3,0.48,MEAH+,0.0477,0.0545639578641897,0.0583874858384355,True,1.2434497875801753e-13
Matin,20.0,0.3,0.505,MEAH+,0.0496,0.05733507768854,0.0629387288194907,True,7.105427357601002e-15
Matin,20.0,0.3,0.531,MEAH+,0.0515,0.0601955460448468,0.0677571293311556,True,1.7763568394002505e-15
Jakobsen,20.0,0.3,0.6,MEAH+,0.0632,0.0676798289760097,0.0297421743066628,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.78,MEAH+,0.0749,0.0856288560634826,0.0581383245164582,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.99,MEAH+,0.0826,0.0986787624065305,0.0772436467666203,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.78,CO2,0.0009,0.0043718879997891,0.6864265181071912,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.99,CO2,0.0032,0.0165579285673351,0.7138560263484398,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.11,CO3^2-,0.0001,0.0002866269946565,0.4573170900330091,True,8.881784197001252e-15
Jakobsen,40.0,0.3,0.21,CO3^2-,0.0027,0.0002920299553435,-0.9659363621176232,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.25,CO3^2-,0.0004,0.0002924894114206,-0.135949842772333,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.29,CO3^2-,0.0004,0.0002923712680553,-0.1361252999851503,True,6.990791925253827e-14
Jakobsen,40.0,0.3,0.4,CO3^2-,0.001,0.0002878697651262,-0.5408039465437681,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.6,CO3^2-,0.0009,0.0001909860810049,-0.6732407922598063,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.78,CO3^2-,0.0009,9.72960389832813e-05,-0.9661473493633642,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.99,CO3^2-,0.0011,5.128181234898809e-05,-1.3314293199880194,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.11,HCO3-,0.0001,0.0001344517976256,0.1285666131319671,True,8.881784197001252e-15
Jakobsen,40.0,0.3,0.21,HCO3-,0.002,0.0003462805725096,-0.7616018687940296,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.25,HCO3-,0.0004,0.0004764570824778,0.0759637957398341,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.29,HCO3-,0.0003,0.0006532315943562,0.3379459270442224,True,6.990791925253827e-14
Jakobsen,40.0,0.3,0.4,HCO3-,0.0012,0.0017475134477049,0.1632392804253755,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.466,HCO3-,0.004,0.0040397326426934,0.0042926322863257,True,2.8421709430404014e-14
Bottinger,40.0,0.3,0.487,HCO3-,0.0052,0.0056023466115575,0.0323666310473382,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.508,HCO3-,0.0091,0.0078403674706166,-0.0647049741875344,True,6.253146260657673e-16
Jakobsen,40.0,0.3,0.6,HCO3-,0.0151,0.0234226524113923,0.1906591262956981,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.663,HCO3-,0.0428,0.0352424593580567,-0.0843775614308069,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.683,HCO3-,0.0382,0.0388358765358736,0.0071697488293174,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.762,HCO3-,0.0596,0.0517223363449122,-0.0615681256125782,True,1.4210854715202004e-14
Jakobsen,40.0,0.3,0.78,HCO3-,0.0448,0.0543183208600457,0.0836683221548638,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.99,HCO3-,0.0696,0.0752632038883415,0.0339734623006144,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.11,MEA,0.0985,0.0876649860214116,-0.0506100626053497,True,8.881784197001252e-15
Jakobsen,40.0,0.3,0.21,MEA,0.0715,0.0654388932270586,-0.0384700963310583,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.25,MEA,0.0559,0.0565917604097302,0.0053413959329894,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.29,MEA,0.0563,0.0477908242651089,-0.0711638738366963,True,6.990791925253827e-14
Jakobsen,40.0,0.3,0.4,MEA,0.0376,0.0241970092504208,-0.1914261544144024,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.6,MEA,0.0028,0.0017789414352319,-0.1969963804894674,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.78,MEA,0.0012,0.0004826754228685,-0.3955260603101607,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.99,MEA,0.0014,0.0002054934492354,-0.8333300537787501,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.11,MEA + MEAH+,0.105,0.1003143695044025,-0.0198261511992496,True,8.881784197001252e-15
Bottinger,40.0,0.3,0.125,MEA + MEAH+,0.1009,0.0986570244394387,-0.0097631535196668,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.205,MEA + MEAH+,0.0934,0.0898548845446065,-0.0168051857354623,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.21,MEA + MEAH+,0.0875,0.0893076796425489,0.0088807528200789,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.236,MEA + MEAH+,0.0876,0.0864701718286008,-0.0056377841863401,True,3.552713678800501e-15
Jakobsen,40.0,0.3,0.25,MEA + MEAH+,0.0777,0.0849487752404303,0.0387361029543894,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.28,MEA + MEAH+,0.084,0.0817085407397412,-0.0120118317047556,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.29,MEA + MEAH+,0.0788,0.0806359311459186,0.0100023878537407,True,6.990791925253827e-14
Bottinger,40.0,0.3,0.343,MEA + MEAH+,0.0758,0.0750460848420464,-0.0043411656263476,True,7.105427357601002e-15
Bottinger,40.0,0.3,0.354,MEA + MEAH+,0.0749,0.0739146550469222,-0.0057512632692691,True,7.105427357601002e-15
Jakobsen,40.0,0.3,0.4,MEA + MEAH+,0.0849,0.0693805053350916,-0.0876702315288804,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.46,MEA + MEAH+,0.065,0.0645904211865555,-0.0027452401071295,True,7.105427357601002e-15
Bottinger,40.0,0.3,0.466,MEA + MEAH+,0.0663,0.0642594748570242,-0.0135763563275947,True,2.8421709430404014e-14
Bottinger,40.0,0.3,0.487,MEA + MEAH+,0.0646,0.0634646101730461,-0.0077009012235643,True,3.552713678800501e-15
Bottinger,40.0,0.3,0.508,MEA + MEAH+,0.0647,0.0633503473310623,-0.0091552803355818,True,6.253146260657673e-16
