role,temperature_C,species,CO2_loading,mole_fraction
curve,60.0,MEAH+,0.48539375,0.0545718000342572
curve,60.0,MEAH+,0.4903875,0.0551222151002453
curve,60.0,MEAH+,0.49538125,0.0556702292211716
curve,60.0,MEAH+,0.500375,0.0562153807334772
curve,60.0,MEAH+,0.50536875,0.0567571845585297
curve,60.0,MEAH+,0.5103624999999999,0.0572951633151085
curve,60.0,MEAH+,0.51535625,0.0578288582113807
curve,60.0,MEAH+,0.52035,0.0583578489224602
curve,60.0,MEAH+,0.52534375,0.0588817587945613
curve,60.0,MEAH+,0.5303375,0.0594002567917066
curve,60.0,MEAH+,0.53533125,0.0599130620986484
curve,60.0,MEAH+,0.5403249999999999,0.0604199343842169
curve,60.0,MEAH+,0.54531875,0.0609206724678821
curve,60.0,MEAH+,0.5503125,0.0614151080202693
curve,60.0,MEAH+,0.55530625,0.0619031011339573
curve,60.0,MEAH+,0.5603,0.0623845397718581
curve,60.0,MEAH+,0.56529375,0.062859333987125
curve,60.0,MEAH+,0.5702875,0.0633274083291537
curve,60.0,MEAH+,0.57528125,0.0637887144771138
curve,60.0,MEAH+,0.580275,0.0642432015907295
curve,60.0,MEAH+,0.58526875,0.064690861699834
curve,60.0,MEAH+,0.5902625,0.0651316738098232
curve,60.0,MEAH+,0.59525625,0.0655656401648188
curve,60.0,MEAH+,0.60025,0.0659927651928592
curve,60.0,MEAH+,0.60524375,0.0664130894479695
curve,60.0,MEAH+,0.6102375,0.066826623614426
curve,60.0,MEAH+,0.61523125,0.0672334110691276
curve,60.0,MEAH+,0.620225,0.0676334976567941
curve,60.0,MEAH+,0.62521875,0.0680269358915307
curve,60.0,MEAH+,0.6302125,0.0684137971108568
curve,60.0,MEAH+,0.63520625,0.0687941235618533
curve,60.0,MEAH+,0.6402,0.069168010740932
curve,60.0,MEAH+,0.64519375,0.0695354948509767
curve,60.0,MEAH+,0.6501875,0.0698966880633573
curve,60.0,MEAH+,0.6551812499999999,0.0702516728637964
curve,60.0,MEAH+,0.660175,0.0706005014615245
curve,60.0,MEAH+,0.66516875,0.0709433050787869
curve,60.0,MEAH+,0.6701625,0.071280129325721
curve,60.0,MEAH+,0.67515625,0.0716110991470825
curve,60.0,MEAH+,0.68015,0.0719362787154314
curve,60.0,MEAH+,0.6851437499999999,0.0722557747837844
curve,60.0,MEAH+,0.6901375,0.0725697053083801
curve,60.0,MEAH+,0.69513125,0.0728781148088302
curve,60.0,MEAH+,0.700125,0.0731811448002332
curve,60.0,MEAH+,0.70511875,0.0734788589876611
curve,60.0,MEAH+,0.7101125,0.0737713783060562
curve,60.0,MEAH+,0.7151062499999999,0.0740587991674287
curve,60.0,MEAH+,0.7201,0.0743411675138958
curve,60.0,MEAH+,0.72509375,0.0746186370096158
curve,60.0,MEAH+,0.7300875,0.0748912995391152
curve,60.0,MEAH+,0.73508125,0.0751591666029833
curve,60.0,MEAH+,0.740075,0.0754224437634552
curve,60.0,MEAH+,0.74506875,0.0756811457147699
curve,60.0,MEAH+,0.7500625,0.0759353648664768
curve,60.0,MEAH+,0.75505625,0.0761852349917784
curve,60.0,MEAH+,0.76005,0.0764307879482267
curve,60.0,MEAH+,0.76504375,0.0766721482859192
curve,60.0,MEAH+,0.7700375,0.0769093718652642
curve,60.0,MEAH+,0.77503125,0.0771425681986085
curve,60.0,MEAH+,0.780025,0.077371808703583
curve,60.0,MEAH+,0.78501875,0.0775971525859659
curve,60.0,MEAH+,0.7900125,0.077818727064629
curve,60.0,MEAH+,0.79500625,0.0780365897308289
curve,60.0,MEAH+,0.8,0.078250743618988
curve,60.0,MEACOO-,0.001,0.0001029723065093
curve,60.0,MEACOO-,0.00599375,0.0006323109255397
curve,60.0,MEACOO-,0.0109875,0.0011746790321221
curve,60.0,MEACOO-,0.01598125,0.0017222752076474
curve,60.0,MEACOO-,0.020975,0.0022724454677916
curve,60.0,MEACOO-,0.02596875,0.0028241489448805
curve,60.0,MEACOO-,0.0309625,0.0033768934138775
curve,60.0,MEACOO-,0.03595625,0.0039304002814303
curve,60.0,MEACOO-,0.04095,0.0044845044564019
curve,60.0,MEACOO-,0.04594375,0.005039085316
curve,60.0,MEACOO-,0.0509375,0.0055940592377416
curve,60.0,MEACOO-,0.05593125,0.0061493601513702
curve,60.0,MEACOO-,0.060925,0.0067049402129773
curve,60.0,MEACOO-,0.06591875,0.0072607521585327
curve,60.0,MEACOO-,0.0709125,0.007816762280333
curve,60.0,MEACOO-,0.07590625,0.0083729395466027
curve,60.0,MEACOO-,0.0809,0.0089292601626041
curve,60.0,MEACOO-,0.08589375,0.0094856979085204
curve,60.0,MEACOO-,0.0908875,0.0100422338964318
curve,60.0,MEACOO-,0.09588125,0.0105988496705198
curve,60.0,MEACOO-,0.1008749999999999,0.0111555245494074
curve,60.0,MEACOO-,0.10586875,0.011712247266836
curve,60.0,MEACOO-,0.1108625,0.0122689998215097
curve,60.0,MEACOO-,0.11585625,0.0128257709301893
curve,60.0,MEACOO-,0.12085,0.0133825453454617
curve,60.0,MEACOO-,0.12584375,0.0139393111901362
