source,species,CO2_loading,mole_fraction,accepted,message
model,MEA + MEAH+,0.21,0.0890413405833235,True,converged
model,MEA + MEAH+,0.236,0.0861443964657487,True,converged
model,MEA + MEAH+,0.25,0.0845862302338091,True,converged
model,MEA + MEAH+,0.28,0.08125340616797,True,converged
model,MEA + MEAH+,0.29,0.0801449271639253,True,converged
model,MEA + MEAH+,0.343,0.07430453340755441,True,converged
model,MEA + MEAH+,0.354,0.0731035330610971,True,converged
model,MEA + MEAH+,0.4,0.0681672483678482,True,converged
model,MEA + MEAH+,0.46,0.0623907406464001,True,converged
model,MEA + MEAH+,0.466,0.061935256434394105,True,converged
model,MEA + MEAH+,0.487,0.0607954736624546,True,converged
model,MEA + MEAH+,0.508,0.0607243347570813,True,converged
model,MEA + MEAH+,0.6,0.0677298264520991,True,converged
model,MEA + MEAH+,0.663,0.0732263642669751,True,converged
model,MEA + MEAH+,0.683,0.0748498117089776,True,converged
model,MEA + MEAH+,0.762,0.0805283936972927,True,converged
model,MEA + MEAH+,0.78,0.0816532730142753,True,converged
