source,species,CO2_loading,mole_fraction
model,HCO3-,0.30524,0.0003170657856298
model,HCO3-,0.31322,0.0003388869043853
model,HCO3-,0.3212,0.0003627260827103
model,HCO3-,0.32918,0.0003885758460885
model,HCO3-,0.33716,0.0004166632020473
model,HCO3-,0.34514,0.0004472374762665
model,HCO3-,0.35312,0.0004815916722735
model,HCO3-,0.3611,0.0005197109770908
model,HCO3-,0.3690800000000001,0.0005619072918637
model,HCO3-,0.37706,0.0006087592440783
model,HCO3-,0.38504,0.00066094661178
model,HCO3-,0.39302,0.0007221135055233
model,HCO3-,0.401,0.0007917096952258
model,HCO3-,0.40898,0.000871318154616
model,HCO3-,0.41696,0.0009628021244136
model,HCO3-,0.42494,0.0010697589913777
model,HCO3-,0.4329200000000001,0.001201420227776
model,HCO3-,0.4409,0.0013589940342025
model,HCO3-,0.44888,0.0015489859566582
model,HCO3-,0.45686,0.0017791766342622
model,HCO3-,0.46484,0.0020695839711872
model,HCO3-,0.4728200000000001,0.0024496395106879
model,HCO3-,0.4808,0.0029278258063626
model,HCO3-,0.48878,0.0035228868333116
model,HCO3-,0.4967600000000001,0.0042523748782031
model,HCO3-,0.5047400000000001,0.0051663192922063
model,HCO3-,0.5127200000000001,0.0062494761122618
model,HCO3-,0.5207,0.0074643267918992
model,HCO3-,0.52868,0.0087933280568434
model,HCO3-,0.53666,0.0102173734589517
model,HCO3-,0.54464,0.0117313468917234
model,HCO3-,0.5526200000000001,0.013297328707524
model,HCO3-,0.5606000000000001,0.0149019444169197
model,HCO3-,0.5685800000000001,0.0165374884072432
model,HCO3-,0.5765600000000001,0.0181977150664058
model,HCO3-,0.5845400000000001,0.0198818557156143
model,HCO3-,0.59252,0.0215790541572778
model,HCO3-,0.6005,0.0232871589355771
model,HCO3-,0.6084800000000001,0.0250042828921989
model,HCO3-,0.6164600000000001,0.0267292601200498
model,HCO3-,0.6244400000000001,0.0284612307247254
model,HCO3-,0.6324200000000001,0.0301974118715134
model,HCO3-,0.6404000000000001,0.031937087560383
model,HCO3-,0.6483800000000001,0.0336796081533388
model,HCO3-,0.65636,0.0354246099600404
model,HCO3-,0.66434,0.0371713373080194
model,HCO3-,0.67232,0.0389189700698128
model,HCO3-,0.6803000000000001,0.0406671443325301
model,HCO3-,0.6882800000000001,0.0424155130299312
model,HCO3-,0.6962600000000001,0.0441635856895646
model,HCO3-,0.7042400000000001,0.0459108436221085
model,HCO3-,0.7122200000000001,0.0476570210742114
model,HCO3-,0.7202000000000001,0.0494018173102722
model,HCO3-,0.72818,0.051144929977773
model,HCO3-,0.7361600000000001,0.0528852719005127
model,HCO3-,0.7441400000000001,0.05462280020321
model,HCO3-,0.7521200000000001,0.056357289074307
model,HCO3-,0.7601000000000001,0.0580883651357752
model,HCO3-,0.7680800000000001,0.0598155931822561
model,HCO3-,0.7760600000000001,0.0615367855630489
model,HCO3-,0.7840400000000001,0.0632527479203936
model,HCO3-,0.7920200000000001,0.0649629292124865
model,HCO3-,0.8,0.0666667432325881
reference,HCO3-,0.11,0.0001
reference,HCO3-,0.125,0.0
reference,HCO3-,0.205,0.0
reference,HCO3-,0.21,0.002
reference,HCO3-,0.236,0.0
reference,HCO3-,0.25,0.0004
reference,HCO3-,0.28,0.0
reference,HCO3-,0.29,0.0003
reference,HCO3-,0.343,0.0
reference,HCO3-,0.354,0.0
reference,HCO3-,0.4,0.0012
reference,HCO3-,0.46,0.0
reference,HCO3-,0.466,0.004
reference,HCO3-,0.487,0.0052
reference,HCO3-,0.508,0.0091
reference,HCO3-,0.6,0.0151
reference,HCO3-,0.663,0.0428
reference,HCO3-,0.683,0.0382
reference,HCO3-,0.762,0.0596
reference,HCO3-,0.78,0.0448
model,MEA + MEAH+,0.11372,0.0995359862103349
model,MEA + MEAH+,0.1217,0.0986458936381739
model,MEA + MEAH+,0.12968,0.0977560562471466
model,MEA + MEAH+,0.13766,0.0968664570789117
model,MEA + MEAH+,0.14564,0.095977109049991
model,MEA + MEAH+,0.15362,0.0950880257071701
model,MEA + MEAH+,0.1616,0.0941993111468817
model,MEA + MEAH+,0.16958,0.0933109306658041
model,MEA + MEAH+,0.17756,0.0924228834696413
model,MEA + MEAH+,0.18554,0.0915351897406507
model,MEA + MEAH+,0.19352,0.0906478718118923
model,MEA + MEAH+,0.2015,0.0897611124531492
model,MEA + MEAH+,0.20948,0.0888748079094363
model,MEA + MEAH+,0.21746,0.0879889894475134
model,MEA + MEAH+,0.22544,0.0871036903777968
model,MEA + MEAH+,0.23342,0.0862189924933944
model,MEA + MEAH+,0.2414,0.0853350947547702
model,MEA + MEAH+,0.24938,0.0844518897641249
model,MEA + MEAH+,0.25736,0.08356943238155
model,MEA + MEAH+,0.26534,0.0826877815153158
model,MEA + MEAH+,0.27332,0.0818071473836878
model,MEA + MEAH+,0.2813,0.0809277319417124
model,MEA + MEAH+,0.28928,0.0800494444004972
model,MEA + MEAH+,0.29726,0.0791723899077333
model,MEA + MEAH+,0.30524,0.0782966825093315
model,MEA + MEAH+,0.31322,0.077422831520918
model,MEA + MEAH+,0.3212,0.0765509986366121
model,MEA + MEAH+,0.32918,0.0756811763845195
model,MEA + MEAH+,0.33716,0.0748135917802385
model,MEA + MEAH+,0.34514,0.0739484941585897
model,MEA + MEAH+,0.35312,0.0730871765641469
model,MEA + MEAH+,0.3611,0.0722296241928443
model,MEA + MEAH+,0.3690800000000001,0.0713761489639756
