source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Bottinger,40.0,0.3,0.487,HCO3-,0.0052,0.0033647558566624,-0.1890497859071654
Bottinger,40.0,0.3,0.508,HCO3-,0.0091,0.0055893269721698,-0.2116818760035454
Jakobsen,40.0,0.3,0.6,HCO3-,0.0151,0.0231796961710317,0.1861307918361706
Bottinger,40.0,0.3,0.663,HCO3-,0.0428,0.0368779907134479,-0.0646765183949745
Bottinger,40.0,0.3,0.683,HCO3-,0.0382,0.0412587085801346,0.0334522672862863
Bottinger,40.0,0.3,0.762,HCO3-,0.0596,0.0584996099087468,-0.0080932896417061
Jakobsen,40.0,0.3,0.78,HCO3-,0.0448,0.0623849903585241,0.1438020983031298
Jakobsen,40.0,0.3,0.99,HCO3-,0.0696,0.1002996598212984,0.1586902204489041
Jakobsen,40.0,0.3,0.11,MEA,0.0985,0.0876046574139288,-0.0509090348843122
Jakobsen,40.0,0.3,0.21,MEA,0.0715,0.0652467395972343,-0.0397472270981595
Jakobsen,40.0,0.3,0.25,MEA,0.0559,0.056323383083318,0.0032769250780718
Jakobsen,40.0,0.3,0.29,MEA,0.0563,0.047420757428706,-0.0745399083791389
Jakobsen,40.0,0.3,0.4,MEA,0.0376,0.0232305568287328,-0.20912822510815
Jakobsen,40.0,0.3,0.6,MEA,0.0028,0.0007647999452378,-0.5636101831710592
Jakobsen,40.0,0.3,0.78,MEA,0.0012,0.0001522626615568,-0.896587829040689
Jakobsen,40.0,0.3,0.99,MEA,0.0014,2.063359764678473e-05,-1.8315530780916007
Jakobsen,40.0,0.3,0.11,MEA + MEAH+,0.105,0.0999510181794198,-0.0214020765292451
Bottinger,40.0,0.3,0.125,MEA + MEAH+,0.1009,0.0982778874525583,-0.0114353537723489
Bottinger,40.0,0.3,0.205,MEA + MEAH+,0.0934,0.0893722904622101,-0.0191439879121261
Jakobsen,40.0,0.3,0.21,MEA + MEAH+,0.0875,0.0888170643988466,0.0064883616557948
Bottinger,40.0,0.3,0.236,MEA + MEAH+,0.0876,0.0859331895548508,-0.0083431745063613
Jakobsen,40.0,0.3,0.25,MEA + MEAH+,0.0777,0.0843832932615881,0.0358354519655622
Bottinger,40.0,0.3,0.28,MEA + MEAH+,0.084,0.0810709710719572,-0.0154139110134368
Jakobsen,40.0,0.3,0.29,MEA + MEAH+,0.0788,0.0799702526407833,0.0064022505462746
Bottinger,40.0,0.3,0.343,MEA + MEAH+,0.0758,0.0741803446446477,-0.0093803588864154
Bottinger,40.0,0.3,0.354,MEA + MEAH+,0.0749,0.0729921941727797,-0.0112053987974725
Jakobsen,40.0,0.3,0.4,MEA + MEAH+,0.0849,0.0681264021925278,-0.0955922361231373
Bottinger,40.0,0.3,0.46,MEA + MEAH+,0.065,0.0625029211370598,-0.017013041633819
Bottinger,40.0,0.3,0.466,MEA + MEAH+,0.0663,0.0620514205654885,-0.0287617999964407
Bottinger,40.0,0.3,0.487,MEA + MEAH+,0.0646,0.0609439092433114,-0.0253022094220828
Bottinger,40.0,0.3,0.508,MEA + MEAH+,0.0647,0.0608118602765871,-0.0269159916862337
Jakobsen,40.0,0.3,0.6,MEA + MEAH+,0.0638,0.0680911534535612,0.0282700124005473
Bottinger,40.0,0.3,0.663,MEA + MEAH+,0.0759,0.0747562980808939,-0.0065939888447407
Bottinger,40.0,0.3,0.683,MEA + MEAH+,0.0739,0.0769129244924684,0.0173548866358005
