temperature_C,CO2_loading,effective_CO2_loading,solver_returned,solver_success,rejection_reason,message,charge_residual,max_abs_reaction_residual,state_failure_count
40.0,0.34784375,0.34784375,True,True,,converged,-1.220228589818886e-11,5.283832038571745e-08,0
40.0,0.35281250000000003,0.35281250000000003,True,True,,converged,-1.2222479792996883e-11,5.359918375802408e-08,0
40.0,0.35778125,0.35778125,True,True,,converged,-1.224651489624686e-11,5.26179384507941e-08,0
40.0,0.36275,0.36275,True,True,,converged,-1.2276193175242867e-11,5.2997869204318704e-08,0
40.0,0.36771875,0.36771875,True,True,,converged,-1.2311324274576603e-11,5.308060835318429e-08,0
40.0,0.3726875,0.3726875,True,True,,converged,-1.2352618614333457e-11,5.295137128769056e-08,0
40.0,0.37765625,0.37765625,True,True,,converged,-1.240137767461293e-11,5.1803180411980065e-08,0
40.0,0.382625,0.382625,True,True,,converged,-1.245892068021949e-11,5.336470820793693e-08,0
40.0,0.38759375,0.38759375,True,True,,converged,-1.2525538886396667e-11,5.307372674678845e-08,0
40.0,0.39256250000000004,0.39256250000000004,True,True,,converged,-1.2603328287819144e-11,5.304405092942943e-08,0
40.0,0.39753125,0.39753125,True,True,,converged,-1.2693577869156384e-11,5.3271364208740124e-08,0
40.0,0.4025,0.4025,True,True,,converged,-1.2798122363276204e-11,5.3210701622674605e-08,0
40.0,0.40746875,0.40746875,True,True,,converged,-1.2919391224783963e-11,5.312213602337579e-08,0
40.0,0.4124375,0.4124375,True,True,,converged,-1.305972042485852e-11,5.34685824504777e-08,0
40.0,0.41740625000000003,0.41740625000000003,True,True,,converged,-1.322204010033915e-11,5.214816667375999e-08,0
40.0,0.422375,0.422375,True,True,,converged,-1.3410939193248586e-11,5.346319298382696e-08,0
40.0,0.42734375,0.42734375,True,True,,converged,-1.3629932543140305e-11,5.368143973782935e-08,0
40.0,0.4323125,0.4323125,True,True,,converged,-1.3884465724091051e-11,5.362457500268647e-08,0
40.0,0.43728125,0.43728125,True,True,,converged,-1.418127020127095e-11,5.356978505233201e-08,0
40.0,0.44225000000000003,0.44225000000000003,True,True,,converged,-1.4527833397909065e-11,5.4082839540114946e-08,0
40.0,0.44721875,0.44721875,True,True,,converged,-1.493249830795619e-11,5.393058799540995e-08,0
40.0,0.4521875,0.4521875,True,True,,converged,-1.5405359246237934e-11,5.40219637912287e-08,0
40.0,0.45715625,0.45715625,True,True,,converged,-1.595690953737867e-11,5.425257043611964e-08,0
40.0,0.462125,0.462125,True,True,,converged,-2.489622376322997e-11,8.075688029407502e-08,0
40.0,0.46709375000000003,0.46709375000000003,True,True,,converged,-3.390189635445523e-13,5.30189190328656e-08,0
40.0,0.4720625,0.4720625,True,True,,converged,-9.505403148046838e-13,4.442950896077491e-08,0
40.0,0.47703125,0.47703125,True,True,,converged,-7.572712992304443e-12,9.733539130252211e-08,0
40.0,0.482,0.482,True,True,,converged,-8.21757423105978e-12,8.787814564925611e-08,0
40.0,0.48696875,0.48696875,True,True,,converged,-3.665311298217871e-11,9.670669243178054e-08,0
40.0,0.4919375,0.4919375,True,True,,converged,-2.167857712412023e-11,5.6317638552627614e-08,0
40.0,0.49690625,0.49690625,True,True,,converged,-3.8627272277193835e-11,9.75616494258702e-08,0
40.0,0.501875,0.501875,True,True,,converged,-2.1985915174494933e-11,5.676678327404261e-08,0
40.0,0.50684375,0.50684375,True,True,,converged,-2.1387222376838648e-11,5.7134034392447575e-08,0
40.0,0.5118125,0.5118125,True,True,,converged,-4.078443775361927e-11,9.699315839384326e-08,0
40.0,0.51678125,0.51678125,True,True,,converged,-1.9204125447293954e-11,5.793718216295929e-08,0
40.0,0.52175,0.52175,True,True,,converged,-1.80074978296051e-11,5.7697405964063364e-08,0
